Date,EMA_200_close,EMA_50_close,EMA_200_adjClose,EMA_50_adjClose
1980-12-12,0,0,0,0
1980-12-15,0,0,0,0
1980-12-16,0,0,0,0
1980-12-17,0,0,0,0
1980-12-18,0,0,0,0
1980-12-19,0,0,0,0
1980-12-22,0,0,0,0
1980-12-23,0,0,0,0
1980-12-24,0,0,0,0
1980-12-26,0,0,0,0
1980-12-29,0,0,0,0
1980-12-30,0,0,0,0
1980-12-31,0,0,0,0
1981-01-02,0,0,0,0
1981-01-05,0,0,0,0
1981-01-06,0,0,0,0
1981-01-07,0,0,0,0
1981-01-08,0,0,0,0
1981-01-09,0,0,0,0
1981-01-12,0,0,0,0
1981-01-13,0,0,0,0
1981-01-14,0,0,0,0
1981-01-15,0,0,0,0
1981-01-16,0,0,0,0
1981-01-19,0,0,0,0
1981-01-20,0,0,0,0
1981-01-21,0,0,0,0
1981-01-22,0,0,0,0
1981-01-23,0,0,0,0
1981-01-26,0,0,0,0
1981-01-27,0,0,0,0
1981-01-28,0,0,0,0
1981-01-29,0,0,0,0
1981-01-30,0,0,0,0
1981-02-02,0,0,0,0
1981-02-03,0,0,0,0
1981-02-04,0,0,0,0
1981-02-05,0,0,0,0
1981-02-06,0,0,0,0
1981-02-09,0,0,0,0
1981-02-10,0,0,0,0
1981-02-11,0,0,0,0
1981-02-12,0,0,0,0
1981-02-13,0,0,0,0
1981-02-17,0,0,0,0
1981-02-18,0,0,0,0
1981-02-19,0,0,0,0
1981-02-20,0,0,0,0
1981-02-23,0,0,0,0
1981-02-24,0,0.132578,0,0.102592
1981-02-25,0,0.131799,0,0.10199
1981-02-26,0,0.131117,0,0.101461
1981-02-27,0,0.130615,0,0.101073
1981-03-02,0,0.130154,0,0.100716
1981-03-03,0,0.129645,0,0.100322
1981-03-04,0,0.129113,0,0.0999105
1981-03-05,0,0.12858,0,0.0994979
1981-03-06,0,0.128023,0,0.0990675
1981-03-09,0,0.127139,0,0.098383
1981-03-10,0,0.126092,0,0.097573
1981-03-11,0,0.124933,0,0.0966762
1981-03-12,0,0.123973,0,0.0959331
1981-03-13,0,0.123007,0,0.0951853
1981-03-16,0,0.122231,0,0.0945854
1981-03-17,0,0.121683,0,0.0941613
1981-03-18,0,0.121419,0,0.0939572
1981-03-19,0,0.121122,0,0.0937271
1981-03-20,0,0.12088,0,0.09354
1981-03-23,0,0.120823,0,0.0934957
1981-03-24,0,0.120746,0,0.0934362
1981-03-25,0,0.120585,0,0.0933112
1981-03-26,0,0.120342,0,0.0931234
1981-03-27,0,0.119956,0,0.0928245
1981-03-30,0,0.119585,0,0.0925373
1981-03-31,0,0.119184,0,0.0922275
1981-04-01,0,0.118756,0,0.091896
1981-04-02,0,0.118716,0,0.0918653
1981-04-03,0,0.1187,0,0.0918528
1981-04-06,0,0.118597,0,0.091773
1981-04-07,0,0.118454,0,0.0916625
1981-04-08,0,0.118536,0,0.0917257
1981-04-09,0,0.118702,0,0.0918541
1981-04-10,0,0.118927,0,0.0920283
1981-04-13,0,0.119143,0,0.0921957
1981-04-14,0,0.119351,0,0.0923565
1981-04-15,0,0.11931,0,0.0923247
1981-04-16,0,0.119008,0,0.0920909
